Ник,Имя,Страна,Команда,Дата рождения,Призовые за карьеру,Расса
Serral,Joona Sotala,FI,ENCE eSports,1998-03-22,1127915,Zerg
Maru,조성주,KR,,1997-07-28,957584,Terran
Reynor,Riccardo Romiti,IT,KaiZi Gaming,,482229,Zerg
Dark,박령우,KR,Dragon Phoenix Gaming,1995-10-06,859994,Zerg
Clem,Clément Desplanches,FR,Team Liquid,,173340,Terran
Cure,김도욱,KR,Dragon Phoenix Gaming,1994-11-25,187056,Terran
Zest,주성욱,KR,Dragon Phoenix Gaming,1992-07-11,647705,Protoss
Solar,강민수,KR,KaiZi Gaming,1996-05-09,438647,Zerg
Rogue,이병렬,KR,Dragon Phoenix Gaming,1994-01-13,995689,Zerg
Stats,김대엽,KR,,1992-05-15,595988,Protoss
MaxPax,,DK,PSISTORM Gaming,,34719,Protoss
HeRoMaRinE,Gabriel Segat,DE,mousesports,1997-07-04,242373,Terran
ByuN,변현우,KR,Shopify Rebellion,1993-05-08,456860,Terran
INnoVation,이신형,KR,KaiZi Gaming,1993-07-25,739144,Terran
ShoWTimE,Tobias Sieber,DE,Berlin International Gaming,1994-02-23,312606,Protoss
herO,김준호,KR,Dragon Phoenix Gaming,1992-08-18,328457,Protoss
Bunny,이재선,KR,Team NV,1995-09-11,120363,Terran
Trap,조성호,KR,Kwangdong Freecs,1994-03-24,362833,Protoss
PartinG,원이삭,KR,,1994-08-24,456030,Protoss
TY,전태양,KR,Kwangdong Freecs,1994-09-18,676714,Terran
Classic,김도우,KR,Alpha X,1991-11-27,463745,Protoss
soO,어윤수,KR,Kwangdong Freecs,1992-09-24,580614,Zerg
RagnaroK,신희범,KR,Alpha X,1996-09-03,104304,Zerg
Astrea,Max Angel,US,Alpha X,,83483,Protoss
Elazer,Mikołaj Ogonowski,PL,x-kom AGO,1997-12-11,275255,Zerg
Creator,장현우,KR,Team NV,1997-02-23,142983,Protoss
sOs,김유진,KR,,1993-10-16,621897,Protoss
Lambo,Julian Brosig,DE,Shopify Rebellion,1995-11-10,114597,Zerg
Zoun,박한솔,KR,Alpha X,1997-06-17,55067,Protoss
TIME,李培楠,CN,KaiZi Gaming,2000-06-28,199919,Terran
DRG,박수호,KR,Team NV,1991-06-03,290146,Zerg
GuMiho,고병재,KR,PSISTORM Gaming,1992-08-04,223592,Terran
Dream,조중혁,KR,Good Game Gaming,1996-10-27,127076,Terran
SpeCial,Juan Carlos Tena Lopez,MX,PSISTORM Gaming,1993-05-20,416465,Terran
SKillous,Никита Гуревич,RU,Team GP,2001-04-17,40610,Protoss
Neeb,Alex Sunderhaft,US,,1998-02-17,555344,Protoss
Dear,백동준,KR,,1994-04-25,224029,Protoss
uThermal,Marc Schlappi,NL,Team Liquid,1995-11-10,167471,Terran
Harstem,Kevin de Koning,NL,Shopify Rebellion,1994-07-28,114517,Protoss
Scarlett,Sasha Hostyn,CA,Shopify Rebellion,1993-12-14,398246,Zerg
Spirit,Piotr Walukiewicz,PL,KaiZi Gaming,,64790,Terran
Rattata,Иван Чепурнов,RU,Good Game Gaming,,31900,Zerg
MarineLorD,Alexis Eusebio,FR,Koka Authentique Pépite,1995-06-01,93284,Terran
KeeN,황규석,KR,Kwangdong Freecs,1994-10-02,88220,Terran
FanTaSy,정명훈,KR,,1991-07-01,47471,Terran
GunGFuBanDa,Fabian Mayer,DE,Senthex,1998-04-23,44442,Protoss
NightMare,장욱,KR,Team NV,,7283,Protoss
Cham,Pablo Cham,MX,Team GP,1997-02-19,99032,Zerg
Denver,Clément Coste,FR,,,38072,Zerg
Hellraiser,Богдан Козар,UA,Dominaticus Esports,,24268,Protoss
Gerald,Mateusz Budziak,PL,PSISTORM Gaming,,32983,Protoss
Armani,박진혁,KR,Kwangdong Freecs,1996-04-29,62565,Zerg
Ryung,김동원,KR,Team GP,1991-04-16,108952,Terran
Krystianer,Krystian Szczęsny,PL,Team Blacer,,14282,Protoss
Stephano,Ilyes Satouri,FR,Gamers Origin,1993-03-12,302644,Zerg
MaNa,Grzegorz Komincz,PL,Team Liquid,1993-12-14,218716,Protoss
Patience,조지현,KR,Good Game Gaming,1996-02-23,152539,Protoss
Impact,김준혁,KR,,1995-09-07,80427,Zerg
Kelazhur,Diego Guilherme Schwimer,BR,Team Liquid,1995-10-10,175075,Terran
PtitDrogo,Théo Freydière,FR,Altar,1995-11-09,130807,Protoss
DnS,Adrien Bouet,FR,ROOT Gaming,,67277,Protoss
trigger,,CA,Team Super,,9070,Protoss
Strange,Алексей Соляков,RU,Cascade,,10446,Protoss
Prince,최민우,KR,Team GP,,6919,Protoss
Hurricane,남기웅,KR,,1995-11-18,93414,Protoss
Has,柯昱夆,TW,PREP eSPORTS,1997-06-03,171409,Protoss
Hydra,신동원,KR,ROOT Gaming,1991-09-04,136051,Zerg
TaeJa,윤영서,KR,,1995-01-01,298238,Terran
Future,Joseph Stanish,US,Alpha X,2002-05-09,37909,Terran
ByuL,한지원,KR,PREP eSPORTS,1992-08-07,106614,Zerg
goblin,Leon Vrhovec,HR,Team Rotti,2002-02-03,18788,Protoss
Bly,Олександр Свісюк,UA,,1989-01-22,144835,Zerg
SortOf,Rickard Bergman,SE,ROOT Gaming,1993-07-24,84872,Zerg
Nice,黄昱翔,TW,Good Game Gaming,,71068,Protoss
Leenock,이동녕,KR,TitanEX1,1995-04-01,277999,Zerg
Reality,김기현,KR,,1993-06-06,23940,Terran
Life,이승현,KR,,1997-01-11,470559,Zerg
Rain,정윤종,KR,,1992-08-14,230519,Protoss
iAsonu,周航,CN,Invictus Gaming,1992-11-19,145916,Zerg
Silky,Nick McNeese,US,,,19922,Zerg
TLO,Dario Wünsch,DE,,1990-07-13,108402,Zerg
MaSa,Maru Kim,CA,PSISTORM Gaming,1995-03-20,139829,Terran
DisK,Alexandre Corriveau,CA,Apprentice Esports,,12193,Protoss
Cyan,黄旻,CN,Good Game Gaming,1992-10-28,95142,Protoss
aLive,한이석,KR,Kwangdong Freecs,1992-11-16,202162,Terran
Percival,정재영,KR,,,9844,Terran
Namshar,Christoffer Kolmodin,SE,PSISTORM Gaming,1993-01-16,55060,Zerg
AqueroN,Rubén Villanueva,ES,CSO eSports,,5636,Terran
